Date Collected,Sample ID,Photo ID,Photo_reduced,Fish.ID
4/12/17,IE0412173,MU.110518.08.00,MU.110518.08,MU.110518.08_IE0412173
4/12/17,IE0412173,MU.110518.08.02,MU.110518.08,MU.110518.08_IE0412173
4/12/17,IE0412173,MU.110518.09.00,MU.110518.09,MU.110518.09_IE0412173
4/12/17,IE0412173,MU.110518.09.01,MU.110518.09,MU.110518.09_IE0412173
4/12/17,IE0412173,MU.110518.09.02,MU.110518.09,MU.110518.09_IE0412173
10/14/17,IE1014174,MU.110518.09.00,MU.110518.09,MU.110518.09_IE1014174
10/14/17,IE1014174,MU.110518.09.01,MU.110518.09,MU.110518.09_IE1014174
4/12/17,IE0412173,MU.110518.10.00,MU.110518.10,MU.110518.10_IE0412173
4/12/17,IE0412173,MU.110518.10.01,MU.110518.10,MU.110518.10_IE0412173
10/14/17,IE1014174,MU.110518.10.00,MU.110518.10,MU.110518.10_IE1014174
10/14/17,IE1014174,MU.110518.10.01,MU.110518.10,MU.110518.10_IE1014174
10/14/17,IE1014174,MU.110518.10.02,MU.110518.10,MU.110518.10_IE1014174
4/12/17,IE0412173,MU.110518.11.00,MU.110518.11,MU.110518.11_IE0412173
4/12/17,IE0412173,MU.110518.11.02,MU.110518.11,MU.110518.11_IE0412173
4/12/17,IE0412173,MU.110818.01.00,MU.110818.01,MU.110818.01_IE0412173
4/12/17,IE0412173,MU.110818.01.01,MU.110818.01,MU.110818.01_IE0412173
4/12/17,IE0412173,MU.110818.01.02,MU.110818.01,MU.110818.01_IE0412173
10/9/17,IE1009173,MU.110818.03.00,MU.110818.03,MU.110818.03_IE1009173
10/9/17,IE1009173,MU.110818.03.01,MU.110818.03,MU.110818.03_IE1009173
10/9/17,IE1009173,MU.110818.03.02,MU.110818.03,MU.110818.03_IE1009173
4/12/17,IE0412173,MU.110818.04.00,MU.110818.04,MU.110818.04_IE0412173
4/12/17,IE0412173,MU.110818.04.02,MU.110818.04,MU.110818.04_IE0412173
10/14/17,IE1014174,MU.110818.07.00,MU.110818.07,MU.110818.07_IE1014174
10/14/17,IE1014174,MU.110818.07.03,MU.110818.07,MU.110818.07_IE1014174
10/14/17,IE1014174,MU.110818.08.00,MU.110818.08,MU.110818.08_IE1014174
10/14/17,IE1014174,MU.110818.08.02,MU.110818.08,MU.110818.08_IE1014174
4/12/17,IE0412173,MU.110818.12.00,MU.110818.12,MU.110818.12_IE0412173
4/12/17,IE0412173,MU.110818.12.01,MU.110818.12,MU.110818.12_IE0412173
4/12/17,IE0412173,MU.110818.12.02,MU.110818.12,MU.110818.12_IE0412173
5/3/17,IE0503172,MU.111218.01.00,MU.111218.01,MU.111218.01_IE0503172
5/3/17,IE0503172,MU.111218.01.01,MU.111218.01,MU.111218.01_IE0503172
9/22/17,IE0922171,MU.111218.01.00,MU.111218.01,MU.111218.01_IE0922171
9/22/17,IE0922171,MU.111218.01.01,MU.111218.01,MU.111218.01_IE0922171
9/22/17,IE0922172,MU.111218.01.00,MU.111218.01,MU.111218.01_IE0922172
9/22/17,IE0922172,MU.111218.01.01,MU.111218.01,MU.111218.01_IE0922172
11/14/17,IE1114174,MU.111218.01.00,MU.111218.01,MU.111218.01_IE1114174
11/14/17,IE1114174,MU.111218.01.01,MU.111218.01,MU.111218.01_IE1114174
9/22/17,IE0922173,MU.111218.01.00,MU.111218.01,MU.111218.01_IE0922173
9/22/17,IE0922173,MU.111218.01.01,MU.111218.01,MU.111218.01_IE0922173
9/22/17,IE0922173,MU.111218.02.00,MU.111218.02,MU.111218.02_IE0922173
9/22/17,IE0922173,MU.111218.02.02,MU.111218.02,MU.111218.02_IE0922173
9/22/17,IE0922173,MU.111218.03.00,MU.111218.03,MU.111218.03_IE0922173
9/22/17,IE0922173,MU.111218.03.01,MU.111218.03,MU.111218.03_IE0922173
9/22/17,IE0922173,MU.111218.03.02,MU.111218.03,MU.111218.03_IE0922173
3/21/17,IE0321175,MU.111218.01.00,MU.111218.01,MU.111218.01_IE0321175
3/21/17,IE0321175,MU.111218.01.01,MU.111218.01,MU.111218.01_IE0321175
3/21/17,IE0321175,MU.111218.01.02,MU.111218.01,MU.111218.01_IE0321175
5/3/17,IE0503171,MU.111218.01.00,MU.111218.01,MU.111218.01_IE0503171
5/3/17,IE0503171,MU.111218.01.01,MU.111218.01,MU.111218.01_IE0503171
5/3/17,IE0503171,MU.111218.01.02,MU.111218.01,MU.111218.01_IE0503171
9/22/17,IE0922174,MU.111218.01.00,MU.111218.01,MU.111218.01_IE0922174
9/22/17,IE0922174,MU.111218.01.02,MU.111218.01,MU.111218.01_IE0922174
10/26/17,IE1026171,MU.111218.01.00,MU.111218.01,MU.111218.01_IE1026171
10/26/17,IE1026171,MU.111218.01.01,MU.111218.01,MU.111218.01_IE1026171
5/3/17,IE0503171,MU.111218.02.00,MU.111218.02,MU.111218.02_IE0503171
5/3/17,IE0503171,MU.111218.02.01,MU.111218.02,MU.111218.02_IE0503171
9/22/17,IE0922174,MU.111218.02.00,MU.111218.02,MU.111218.02_IE0922174
9/22/17,IE0922174,MU.111218.02.01,MU.111218.02,MU.111218.02_IE0922174
9/22/17,IE0922174,MU.111218.03.00,MU.111218.03,MU.111218.03_IE0922174
9/22/17,IE0922174,MU.111218.03.01,MU.111218.03,MU.111218.03_IE0922174
9/22/17,IE0922174,MU.111218.04.00,MU.111218.04,MU.111218.04_IE0922174
9/22/17,IE0922174,MU.111218.04.02,MU.111218.04,MU.111218.04_IE0922174
9/22/17,IE0922174,MU.111218.05.00,MU.111218.05,MU.111218.05_IE0922174
9/22/17,IE0922174,MU.111218.05.01,MU.111218.05,MU.111218.05_IE0922174
5/3/17,IE0503172,MU.011619.01.00,MU.011619.01,MU.011619.01_IE0503172
5/3/17,IE0503172,MU.011619.01.01,MU.011619.01,MU.011619.01_IE0503172
11/29/17,IE1129171,MU.011819.01.01,MU.011819.01,MU.011819.01_IE1129171
11/29/17,IE1129171,MU.011819.01.02,MU.011819.01,MU.011819.01_IE1129171
11/5/17,IE1105173,MU.011819.01.00,MU.011819.01,MU.011819.01_IE1105173
11/5/17,IE1105173,MU.011819.01.01,MU.011819.01,MU.011819.01_IE1105173
11/5/17,IE1105173,MU.011819.02.00,MU.011819.02,MU.011819.02_IE1105173
11/5/17,IE1105173,MU.011819.02.01,MU.011819.02,MU.011819.02_IE1105173
11/5/17,IE1105173,MU.011819.03.00,MU.011819.03,MU.011819.03_IE1105173
11/5/17,IE1105173,MU.011819.03.01,MU.011819.03,MU.011819.03_IE1105173
11/5/17,IE1105173,MU.011819.04.00,MU.011819.04,MU.011819.04_IE1105173
11/5/17,IE1105173,MU.011819.04.01,MU.011819.04,MU.011819.04_IE1105173
3/29/17,IE0329174,MU.011819.01.00,MU.011819.01,MU.011819.01_IE0329174
3/29/17,IE0329174,MU.011819.01.01,MU.011819.01,MU.011819.01_IE0329174
4/28/17,IE0428176,MU.011819.01.00,MU.011819.01,MU.011819.01_IE0428176
4/28/17,IE0428176,MU.011819.01.02,MU.011819.01,MU.011819.01_IE0428176
10/26/17,IE1026172,MU.011819.01.01,MU.011819.01,MU.011819.01_IE1026172
10/26/17,IE1026172,MU.011819.01.02,MU.011819.01,MU.011819.01_IE1026172
10/9/17,IE1009174,MU.011819.01.00,MU.011819.01,MU.011819.01_IE1009174
10/9/17,IE1009174,MU.011819.01.01,MU.011819.01,MU.011819.01_IE1009174
10/9/17,IE1009174,MU.011819.02.00,MU.011819.02,MU.011819.02_IE1009174
10/9/17,IE1009174,MU.011819.02.01,MU.011819.02,MU.011819.02_IE1009174
10/9/17,IE1009174,MU.011819.03.00,MU.011819.03,MU.011819.03_IE1009174
10/9/17,IE1009174,MU.011819.03.01,MU.011819.03,MU.011819.03_IE1009174
4/28/17,IE0428172,MU.011819.01.00,MU.011819.01,MU.011819.01_IE0428172
4/28/17,IE0428172,MU.011819.01.01,MU.011819.01,MU.011819.01_IE0428172
4/21/17,IE0421176,MU.011819.01.00,MU.011819.01,MU.011819.01_IE0421176
4/21/17,IE0421176,MU.011819.01.01,MU.011819.01,MU.011819.01_IE0421176
4/21/17,IE0421176,MU.011819.02.00,MU.011819.02,MU.011819.02_IE0421176
4/21/17,IE0421176,MU.011819.02.01,MU.011819.02,MU.011819.02_IE0421176
9/15/17,IE0915172,MU.012319.01.01,MU.012319.01,MU.012319.01_IE0915172
9/15/17,IE0915172,MU.012319.01.02,MU.012319.01,MU.012319.01_IE0915172
9/15/17,IE0915173,MU.012319.01.00,MU.012319.01,MU.012319.01_IE0915173
9/15/17,IE0915173,MU.012319.01.01,MU.012319.01,MU.012319.01_IE0915173
9/15/17,IE0915173,MU.012319.02.00,MU.012319.02,MU.012319.02_IE0915173
9/15/17,IE0915173,MU.012319.02.01,MU.012319.02,MU.012319.02_IE0915173
4/5/17,IE0405175,MU.012319.01.00,MU.012319.01,MU.012319.01_IE0405175
4/5/17,IE0405175,MU.012319.01.01,MU.012319.01,MU.012319.01_IE0405175
4/5/17,IE0405175,MU.012319.02.00,MU.012319.02,MU.012319.02_IE0405175
4/5/17,IE0405175,MU.012319.02.01,MU.012319.02,MU.012319.02_IE0405175
4/5/17,IE0405175,MU.012319.03.00,MU.012319.03,MU.012319.03_IE0405175
4/5/17,IE0405175,MU.012319.03.01,MU.012319.03,MU.012319.03_IE0405175
3/21/17,IE0321172,MU.012319.01.00,MU.012319.01,MU.012319.01_IE0321172
3/21/17,IE0321172,MU.012319.01.01,MU.012319.01,MU.012319.01_IE0321172
3/21/17,IE0321172,MU.012319.02.00,MU.012319.02,MU.012319.02_IE0321172
3/21/17,IE0321172,MU.012319.02.01,MU.012319.02,MU.012319.02_IE0321172
3/21/17,IE0321172,MU.012319.03.00,MU.012319.03,MU.012319.03_IE0321172
3/21/17,IE0321172,MU.012319.03.01,MU.012319.03,MU.012319.03_IE0321172
3/21/17,IE0321172,MU.012319.04.00,MU.012319.04,MU.012319.04_IE0321172
3/21/17,IE0321172,MU.012319.04.01,MU.012319.04,MU.012319.04_IE0321172
3/21/17,IE0321172,MU.012319.05.00,MU.012319.05,MU.012319.05_IE0321172
3/21/17,IE0321172,MU.012319.05.01,MU.012319.05,MU.012319.05_IE0321172
3/21/17,IE0321172,MU.012319.06.00,MU.012319.06,MU.012319.06_IE0321172
3/21/17,IE0321172,MU.012319.06.01,MU.012319.06,MU.012319.06_IE0321172
3/21/17,IE0321173,MU.012319.01.00,MU.012319.01,MU.012319.01_IE0321173
3/21/17,IE0321173,MU.012319.01.01,MU.012319.01,MU.012319.01_IE0321173
3/21/17,IE0321173,MU.012319.02.00,MU.012319.02,MU.012319.02_IE0321173
3/21/17,IE0321173,MU.012319.02.01,MU.012319.02,MU.012319.02_IE0321173
3/21/17,IE0321173,MU.012319.03.00,MU.012319.03,MU.012319.03_IE0321173
3/21/17,IE0321173,MU.012319.03.01,MU.012319.03,MU.012319.03_IE0321173
3/21/17,IE0321173,MU.012319.04.00,MU.012319.04,MU.012319.04_IE0321173
3/21/17,IE0321173,MU.012319.04.01,MU.012319.04,MU.012319.04_IE0321173
3/21/17,IE0321173,MU.012319.05.00,MU.012319.05,MU.012319.05_IE0321173
3/21/17,IE0321173,MU.012319.05.01,MU.012319.05,MU.012319.05_IE0321173
3/21/17,IE0321173,MU.012319.06.00,MU.012319.06,MU.012319.06_IE0321173
3/21/17,IE0321173,MU.012319.06.01,MU.012319.06,MU.012319.06_IE0321173
