n,standardlength,totallength,bodydepthpectoral,bodydepthanus,propulsivearea,bodyarea,musclearea,eyediameter,caudalpeduncledepth,caudalfinheight,caudalfinarea,bodywidth,interorbitalwidth
348,17.9735,22.1099,4.9324,3.872,44.8093,56.9956,25.035,1.2793,1.3624,2.5106,10.1856,,
349,,,,,,,,,,,,1.919,1.1364
350,14.8166,19.57,4.2287,3.108,33.5862,45.5181,17.781,1.054,1.1919,2.0045,7.4362,,
351,,,,,,,,,,,,1.476,1.1712
352,10.6745,12.4919,2.719,2.385,16.0863,21.0841,9.7621,0.756,0.852,1.4422,2.7224,,
353,,,,,,,,,,,,1.305,0.8334
354,6.9603,8.4066,1.757,1.2221,6.998,8.594,4.3039,0.5824,0.5959,1.0323,1.5547,,
355,,,,,,,,,,,,0.91,0.5522
356,14.3252,18.0511,4.209,2.9841,30.3531,41.8059,17.3722,0.95,1.4036,1.8248,7.43,,
357,,,,,,,,,,,,1.9002,1.0822
358,13.3787,17.1952,3.7338,2.6925,30.1614,39.6174,15.9376,0.9087,1.1415,1.669,6.4513,,
359,,,,,,,,,,,,1.5753,0.9997
360,14.3572,18.637,3.9743,3.1703,31.6404,42.5447,16.9805,1,1.2346,2.0787,7.2851,,
361,,,,,,,,,,,,1.6123,0.7686
362,11.7152,15.2321,3.0549,2.6773,19.9694,28.1164,11.0261,0.7459,0.9062,1.4557,4.397,,
363,,,,,,,,,,,,1.2024,0.8408
364,14.4131,18.3832,4.2411,3.3035,33.8891,43.7801,19.213,0.9834,1.3468,1.8608,6.8123,,
365,,,,,,,,,,,,1.838,1.0841
366,13.0674,17.6137,3.9991,2.8844,30.1663,42.3829,15.3958,0.8251,1.0109,1.95,7.3937,,
367,,,,,,,,,,,,1.4926,0.9234
368,7.5087,9.2382,2.018,1.6454,7.1952,10.1658,4.6937,0.5426,0.5932,0.8839,1.1703,,
369,,,,,,,,,,,,0.8816,0.4509
370,8.2403,10.2678,2.3171,1.7179,10.0389,12.1893,5.9852,0.4648,0.6624,0.9492,1.6236,,
371,,,,,,,,,,,,0.8581,0.3899
372,15.5473,21.279,5.1269,3.7012,41.6089,57.2946,22.1727,1.3692,1.4592,2.2563,8.6593,,
373,,,,,,,,,,,,2.5885,1.1525
374,8.2931,10.2788,2.1472,1.8271,9.6012,12.573,6.0511,0.5146,0.5566,0.8509,1.3981,,
375,,,,,,,,,,,,1.0191,0.5941
376,9.3838,11.2908,2.5196,2.0651,12.8806,15.6495,8.2943,0.6062,0.7575,1.0606,1.792,,
377,,,,,,,,,,,,1.1365,0.909
378,9.466,11.9658,2.5504,2.1389,13.7476,15.9724,8.3936,0.6181,0.8732,1.1812,2.2475,,
380,,,,,,,,,,,,1.2096,0.8392
381,9.002,11.0734,2.3938,2.2747,11.8616,15.3006,7.6044,0.6515,0.8241,1.1134,1.5035,,
382,,,,,,,,,,,,1.1801,0.7783
383,10.313,12.2915,2.9329,2.5095,16.6414,21.2773,9.8542,0.7258,0.8621,1.146,2.2958,,
384,,,,,,,,,,,,1.2935,0.7875
385,8.4691,10.6409,2.39,1.781,8.5248,13.5211,6.715,0.6406,0.5815,0.849,1.4876,,
386,,,,,,,,,,,,0.9065,0.5396
387,9.1114,11.3714,2.6183,2.0573,11.1844,15.2562,7.1383,0.662,0.679,1.0951,1.4685,,
388,,,,,,,,,,,,1.0489,0.7146
389,7.9595,9.3013,2.1714,1.5924,9.0398,12.239,5.9229,0.5133,0.781,1.0131,1.0428,,
390,,,,,,,,,,,,0.9617,0.4029
391,8.3585,9.9069,2.2301,1.9116,9.7953,13.3263,6.3148,0.6056,0.7884,0.9958,1.4321,,
392,,,,,,,,,,,,1.0288,0.6572
393,8.9003,10.7975,2.3561,1.9061,11.0643,14.1818,6.4827,0.6101,0.6377,1.2469,1.8181,,
394,,,,,,,,,,,,0.8001,0.7316
395,7.3461,9.6303,2.095,1.6079,7.8909,11.334,5.3954,0.5016,0.6621,0.8395,1.3107,,
396,,,,,,,,,,,,0.9005,0.5172
397,7.7958,9.5811,2.2329,1.6755,9.4689,11.3115,5.9484,0.5614,0.7342,1.2086,1.5295,,
398,,,,,,,,,,,,0.9086,0.5289
399,7.3844,9.3295,2.1092,1.5504,8.3042,11.0536,5.4924,0.5515,0.7507,1.0134,1.4536,,
400,,,,,,,,,,,,1.0143,0.6942
401,8.6909,10.8018,2.4293,1.8007,10.5935,14.0923,6.6554,0.5573,0.6727,1.2292,1.9092,,
402,,,,,,,,,,,,0.8865,0.5857
403,9.194,11.1972,2.5361,2.0349,12.6374,15.4644,7.7754,0.6593,0.7998,1.1704,2.1094,,
404,,,,,,,,,,,,1.1753,0.6999
405,8.4484,10.0253,2.3829,1.7586,9.2764,13.4266,6.287,0.6671,0.6815,0.9348,1.4665,,
406,,,,,,,,,,,,1.0525,0.5001
407,8.406,10.1707,2.2339,1.7279,9.4942,12.5482,5.8279,0.6628,0.6105,1.0389,1.3831,,
408,,,,,,,,,,,,1.0238,0.5339
409,8.6097,10.5628,2.2755,1.9182,10.5147,13.5158,6.7052,0.6526,0.6669,0.9865,1.66,,
410,,,,,,,,,,,,1.0916,0.5939
411,7.3199,9.3457,2.0538,1.7203,8.8269,10.7688,5.5412,0.5739,0.6671,1.0669,1.6391,,
412,,,,,,,,,,,,0.9875,0.5258
413,8.0525,10.0936,2.3331,1.6951,9.4301,14.0831,6.8277,0.5854,0.706,1.1027,1.4177,,
414,,,,,,,,,,,,1.0903,0.5708
415,9.2269,11.1651,2.6208,2.2717,11.7729,17.2853,7.8129,0.6823,0.872,1.2638,2.5141,,
416,,,,,,,,,,,,1.0266,0.5334
417,7.9144,9.7079,2.1746,1.6979,9.7604,12.1536,6.2137,0.6298,0.6322,0.9616,1.6655,,
418,,,,,,,,,,,,1.0191,0.6428
419,8.7343,10.9817,2.5635,1.9566,10.1063,14.5951,6.6735,0.6785,0.6855,0.9532,1.7716,,
420,,,,,,,,,,,,1.1608,0.5659
421,7.7125,9.2841,2.1733,1.7344,8.2064,11.4337,5.5444,0.5614,0.6995,0.8391,1.2267,,
422,,,,,,,,,,,,0.8763,0.5299
423,8.2814,10.5495,2.4424,1.8364,9.2961,12.8782,5.8214,0.6344,0.7325,1.0853,1.7258,,
424,,,,,,,,,,,,0.5333,0.7435
425,7.7444,8.5371,2.3344,1.8006,7.724,12.0799,5.1664,0.6098,0.3029,0.5605,0.9078,,
426,,,,,,,,,,,,0.8888,0.4071
427,12.9378,15.8641,3.5206,2.4402,24.5611,31.2113,12.8892,0.7402,1.0513,1.9341,6.5366,,
428,,,,,,,,,,,,1.3048,0.9556
429,10.0191,12.4827,2.8063,2.3138,18.5124,21.2832,11.4113,0.7007,0.9315,1.5698,4.0415,,
430,,,,,,,,,,,,1.3359,0.7465
431,10.6924,13.1208,2.9136,2.3528,17.1006,20.5646,8.604,0.7421,0.7443,1.6842,4.7476,,
432,,,,,,,,,,,,1.2675,0.8309
433,10.1016,12.5368,2.5551,2.262,15.046,19.3314,10.5139,0.7168,0.9038,1.5206,3.4771,,
434,,,,,,,,,,,,1.3046,0.7
435,9.3122,11.9778,2.5885,2.201,13.3546,16.1639,7.661,0.6734,0.6574,1.2968,2.7355,,
436,,,,,,,,,,,,1.2594,0.8104
437,10.5066,13.0362,2.7117,2.1736,16.6777,19.3091,9.7869,0.644,0.7798,1.4923,3.5182,,
438,,,,,,,,,,,,1.309,0.8199
439,10.5699,13.306,2.8527,2.5174,17.0779,21.465,10.0634,0.7444,0.9276,1.6692,3.6757,,
440,,,,,,,,,,,,1.4998,0.8459
441,11.0351,14.0887,2.9873,2.6467,18.7328,22.0504,11.1751,0.7686,0.9464,1.4134,3.3943,,
442,,,,,,,,,,,,1.4999,0.8329
443,11.8617,15.0771,3.0879,2.5747,21.215,24.3572,11.7619,0.7006,1.0225,1.7062,5.3085,,
444,,,,,,,,,,,,1.425,0.7708
445,11.0614,13.8354,2.813,2.3279,16.733,22.0341,8.3039,0.7548,0.8777,1.4519,3.6957,,
446,,,,,,,,,,,,1.5621,0.7293
447,10.8154,13.6047,2.9196,2.4117,17.9921,22.6107,10.7963,0.7092,0.8937,1.5811,4.7828,,
448,,,,,,,,,,,,1.0935,0.7812
449,9.8938,12.4453,2.7568,2.2481,13.9821,17.8116,8.517,0.6384,0.8134,1.4027,2.9093,,
450,,,,,,,,,,,,1.0446,0.6224
