n,standardlength,totallength,bodydepthpectoral,bodydepthanus,propulsivearea,bodyarea,musclearea,eyediameter,caudalpeduncledepth,caudalfinheight,caudalfinarea,bodywidth,interorbitalwidth
243,12.3159,15.0803,3.4038,2.7139,28.6497,28.3069,13.7025,0.8463,1.0391,2.2695,6.2146,,
244,8.3131,10.1303,2.2842,1.6626,10.6664,12.6726,6.5127,0.5297,0.6924,1.0418,1.7961,,
245,,,,,,,,,,,,1.0936,0.6871
246,11.089,14.3258,3.1097,2.6521,22.6623,23.4876,11.8119,0.7621,1.0009,2.0909,5.5972,,
247,,,,,,,,,,,,1.3467,0.8571
248,8.1038,9.4473,2.0224,1.8542,9.5369,11.9512,5.835,0.6125,0.6756,1.1272,1.4573,,
249,,,,,,,,,,,,0.9027,0.7148
250,9.7563,12.179,2.7114,2.2756,13.6245,17.5103,7.6152,0.5423,0.853,1.3251,2.5538,,
251,,,,,,,,,,,,1.0873,0.7639
252,8.6988,10.7125,2.151,1.8358,12.2334,14.5693,6.3552,0.6394,0.5903,1.4588,3.0848,,
253,,,,,,,,,,,,0.8741,0.638
254,8.8409,9.6434,2.2285,1.8806,8.6444,12.8729,6.0337,0.5884,0.7339,0.9605,1.1098,,
255,,,,,,,,,,,,0.8687,0.6065
256,8.8191,11.1467,2.5317,2.02,11.1128,15.0904,6.9104,0.5672,0.7201,1.3145,2.2454,,
257,,,,,,,,,,,,0.9924,0.6774
258,8.886,10.0274,2.3237,2.2166,9.896,15.1762,7.1226,0.5998,0.7715,1.1728,1.5713,,
259,,,,,,,,,,,,1.0892,0.4686
260,8.5628,10.3934,2.3068,1.8489,11.3829,12.9814,6.406,0.5462,0.8035,1.38,2.5194,,
261,,,,,,,,,,,,0.7903,0.5922
262,7.6312,9.1024,2.0442,1.6869,8.7395,11.0076,5.5183,0.5102,0.6111,1.1078,1.7604,,
263,,,,,,,,,,,,0.7052,0.6583
264,7.7267,8.818,1.8766,1.6022,7.5372,10.4063,5.2996,0.5347,0.5674,1.0872,1.1106,,
265,,,,,,,,,,,,0.4432,0.7328
266,8.6928,10.7526,2.3069,1.8649,11.6288,13.4969,5.6226,0.5303,0.8019,1.5494,3.1461,,
267,,,,,,,,,,,,0.8449,0.6501
268,11.0329,14.169,3.3653,2.7454,18.0586,27.6503,10.2125,0.8201,0.8656,1.5429,3.4842,,
269,,,,,,,,,,,,0.9369,0.7613
270,8.9702,11.3449,2.3886,1.9375,12.1115,15.6004,7.1624,0.5521,0.7242,1.2003,2.158,,
271,,,,,,,,,,,,1.1842,0.8578
272,6.1054,7.2885,1.7216,1.4771,5.556,7.6206,3.5402,0.4048,0.5481,0.7123,0.8994,,
273,,,,,,,,,,,,0.8479,0.5051
274,8.3,10.2464,2.0706,1.744,10.3659,13.2261,6.5231,0.5196,0.7819,1.1423,1.969,,
275,,,,,,,,,,,,0.9618,0.6282
276,6.8411,8.5266,2.1183,1.6403,8.1825,10.1011,5.5754,0.498,0.6315,1.0144,1.8332,,
277,,,,,,,,,,,,0.8664,0.4376
278,7.935,9.6354,2.0678,1.7378,7.8436,11.1743,5.183,0.5459,0.575,0.983,1.3848,,
279,,,,,,,,,,,,0.9284,0.4122
