n,Standardlength,Totallength,Depthatpec,Depthatanus,Pulsearea,Musclearea,Bodyarea,Cauddepth,Caudheight,Caudarea,Bodywidth,Interoctdistance,Eyedimatere
81,8.4281,10.0974,2.0528,1.74,9.7452,7.2325,12.5127,0.6996,1.2761,1.8879,,,0.6352
82,,,,,,,,,,,0.8542,0.5627,
83,7.5202,8.5469,1.7664,1.2582,6.0639,4.1494,8.7895,0.5319,0.9961,0.8121,,,0.5336
84,,,,,,,,,,,0.8491,0.5573,
85,6.8372,8.508,1.7994,1.3183,5.6807,4.24,8.4741,0.4444,0.6591,0.5256,,,0.5084
86,,,,,,,,,,,0.7251,0.5703,
87,7.8714,9.0538,1.8729,1.0025,7.0836,4.5108,9.469,0.7229,1.0441,1.2533,,,0.4965
88,,,,,,,,,,,0.9465,0.597,
89,7.429,8.884,1.6898,1.2408,6.5974,4.8475,8.3366,0.5993,0.8139,0.8285,,,0.4749
90,,,,,,,,,,,0.6864,0.4567,
91,,,,,,,,,,,1.1061,0.678,
92,,,,,,,,,,,0.8465,0.5227,
93,7.9362,9.5865,2.1162,1.6555,8.1621,4.9505,10.5016,0.657,1.1133,1.5292,,,0.594
94,6.7615,8.1903,1.695,1.1798,6.553,4.7313,8.8114,0.5749,0.9004,1.0059,,,0.5399
95,4.689,5.6687,1.7784,1.3318,2.6449,2.0771,7.9683,0.8,1.2303,0.3593,,,0.5477
96,,,,,,,,,,,0.855,0.6122,
