"","Survey","Date","Location","Time","Sudo","Bodo","SuSal","BoSal","SuTemp","BoTemp","Tide","Depth","LatDeg","Latitude","LongDeg","LONGITUD","Secchi","SuPH","BoPH","Northing","Easting","UTM","Edit"
"42","ICHPLAN",2017-07-31,"LSHCB",2328,NA,NA,28,28,24.5,24.5,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"43","ICHPLAN",2017-08-15,"LSHCB",2320,NA,NA,30,30,23.5,24,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"44","ICHPLAN",2017-08-28,"LSHCB",2207,NA,NA,31,31,21.5,20.5,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"45","ICHPLAN",2017-09-11,"LSHCB",2050,NA,NA,28.5,30,19.5,20,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"46","ICHPLAN",2017-09-27,"LSHCB",2224,NA,NA,30,30,23.5,23,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"47","ICHPLAN",2017-10-09,"LSHCB",2022,NA,NA,29,30,22,22,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"48","ICHPLAN",2017-10-23,"LSHCB",2000,NA,NA,30,30,19.5,19,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"49","ICHPLAN",2017-11-06,"LSHCB",1811,NA,NA,30,30,16.5,16.25,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"50","ICHPLAN",2017-11-20,"LSHCB",1804,NA,NA,29,30,9,9,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"51","ICHPLAN",2017-12-04,"LSHCB",1730,NA,NA,30,31,8,8,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"52","ICHPLAN",2017-12-11,"LSHCB",2353,NA,NA,30,30,6,6,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"53","ICHPLAN",2017-12-18,"LSHCB",1734,NA,NA,30,30,6,6,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"54","ICHPLAN",2017-12-27,"LSHCB",2313,NA,NA,30,30,1,1.5,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
