"","Date","n","region"
"1",2017-03-21,14,"NC"
"2",2017-03-29,1,"NC"
"3",2017-04-05,29,"NC"
"4",2017-04-12,20,"NC"
"5",2017-04-21,2,"NC"
"6",2017-04-28,2,"NC"
"7",2017-05-03,4,"NC"
"8",2017-09-09,36,"NC"
"9",2017-09-15,20,"NC"
"10",2017-09-22,10,"NC"
"11",2017-10-09,22,"NC"
"12",2017-10-14,97,"NC"
"13",2017-10-26,3,"NC"
"14",2017-11-05,4,"NC"
"15",2017-11-14,2,"NC"
"16",2017-11-29,1,"NC"
