"","date","WTMP_avg"
"213",2017-01-03,10.82625
"214",2017-01-03,10.82625
"215",2017-01-03,10.82625
"216",2017-01-03,10.82625
"217",2017-01-03,10.82625
"218",2017-01-03,10.82625
"219",2017-01-03,10.82625
"220",2017-01-03,10.82625
"221",2017-01-03,10.82625
"222",2017-01-03,10.82625
"223",2017-01-03,10.82625
"224",2017-01-03,10.82625
"225",2017-01-03,10.82625
"226",2017-01-03,10.82625
"227",2017-01-03,10.82625
"228",2017-01-03,10.82625
"229",2017-01-03,10.82625
"230",2017-01-03,10.82625
"231",2017-01-03,10.82625
"232",2017-01-03,10.82625
"233",2017-01-03,10.82625
"234",2017-01-03,10.82625
"235",2017-01-03,10.82625
"236",2017-01-03,10.82625
"237",2017-01-03,10.82625
"238",2017-01-03,10.82625
"239",2017-01-03,10.82625
"240",2017-01-03,10.82625
"241",2017-01-04,11.49
"242",2017-01-04,11.49
"243",2017-01-04,11.49
"244",2017-01-04,11.49
"245",2017-01-04,11.49
"246",2017-01-04,11.49
"247",2017-01-04,11.49
"248",2017-01-04,11.49
"249",2017-01-04,11.49
"250",2017-01-04,11.49
"251",2017-01-04,11.49
"252",2017-01-04,11.49
"253",2017-01-04,11.49
"254",2017-01-04,11.49
"255",2017-01-04,11.49
"256",2017-01-04,11.49
"257",2017-01-04,11.49
"258",2017-01-04,11.49
"259",2017-01-04,11.49
"260",2017-01-04,11.49
"261",2017-01-04,11.49
"262",2017-01-04,11.49
"263",2017-01-04,11.49
"264",2017-01-04,11.49
"265",2017-01-04,11.49
"266",2017-01-04,11.49
"267",2017-01-04,11.49
"268",2017-01-04,11.49
"269",2017-01-04,11.49
"270",2017-01-04,11.49
"271",2017-01-04,11.49
"272",2017-01-04,11.49
"273",2017-01-04,11.49
"274",2017-01-04,11.49
"275",2017-01-04,11.49
"276",2017-01-04,11.49
"277",2017-01-04,11.49
"278",2017-01-04,11.49
"279",2017-01-04,11.49
"280",2017-01-04,11.49
"281",2017-01-04,11.49
"282",2017-01-04,11.49
"283",2017-01-04,11.49
"284",2017-01-04,11.49
"285",2017-01-04,11.49
"286",2017-01-04,11.49
"287",2017-01-04,11.49
"288",2017-01-04,11.49
"289",2017-01-04,11.49
"290",2017-01-04,11.49
"291",2017-01-04,11.49
"292",2017-01-04,11.49
"293",2017-01-04,11.49
"294",2017-01-04,11.49
"295",2017-01-04,11.49
"296",2017-01-04,11.49
"297",2017-01-04,11.49
"298",2017-01-04,11.49
"299",2017-01-04,11.49
"300",2017-01-04,11.49
"301",2017-01-04,11.49
"302",2017-01-04,11.49
"303",2017-01-04,11.49
"304",2017-01-04,11.49
"305",2017-01-04,11.49
"306",2017-01-04,11.49
"307",2017-01-04,11.49
"308",2017-01-04,11.49
"309",2017-01-04,11.49
"310",2017-01-04,11.49
"311",2017-01-04,11.49
"312",2017-01-04,11.49
"313",2017-01-04,11.49
"314",2017-01-04,11.49
"315",2017-01-04,11.49
"316",2017-01-04,11.49
"317",2017-01-04,11.49
"318",2017-01-04,11.49
"319",2017-01-04,11.49
"320",2017-01-04,11.49
"321",2017-01-05,11.4525
"322",2017-01-05,11.4525
"323",2017-01-05,11.4525
"324",2017-01-05,11.4525
"325",2017-01-05,11.4525
"326",2017-01-05,11.4525
"327",2017-01-05,11.4525
"328",2017-01-05,11.4525
"329",2017-01-05,11.4525
"330",2017-01-05,11.4525
"331",2017-01-05,11.4525
"332",2017-01-05,11.4525
"333",2017-01-05,11.4525
"334",2017-01-05,11.4525
"335",2017-01-05,11.4525
"336",2017-01-05,11.4525
"337",2017-01-05,11.4525
"338",2017-01-05,11.4525
"339",2017-01-05,11.4525
"340",2017-01-05,11.4525
"341",2017-01-05,11.4525
"342",2017-01-05,11.4525
"343",2017-01-05,11.4525
"344",2017-01-05,11.4525
"345",2017-01-05,11.4525
"346",2017-01-05,11.4525
"347",2017-01-05,11.4525
"348",2017-01-05,11.4525
"349",2017-01-05,11.4525
"350",2017-01-05,11.4525
"351",2017-01-05,11.4525
"352",2017-01-05,11.4525
"353",2017-01-05,11.4525
"354",2017-01-05,11.4525
"355",2017-01-05,11.4525
"356",2017-01-05,11.4525
"357",2017-01-05,11.4525
"358",2017-01-05,11.4525
"359",2017-01-05,11.4525
"360",2017-01-05,11.4525
"361",2017-01-05,11.4525
"362",2017-01-05,11.4525
"363",2017-01-05,11.4525
"364",2017-01-05,11.4525
"365",2017-01-05,11.4525
"366",2017-01-05,11.4525
"367",2017-01-05,11.4525
"368",2017-01-05,11.4525
"369",2017-01-05,11.4525
"370",2017-01-05,11.4525
"371",2017-01-05,11.4525
"372",2017-01-05,11.4525
"373",2017-01-05,11.4525
"374",2017-01-05,11.4525
"375",2017-01-05,11.4525
"376",2017-01-05,11.4525
"377",2017-01-05,11.4525
"378",2017-01-05,11.4525
"379",2017-01-05,11.4525
"380",2017-01-05,11.4525
"381",2017-01-05,11.4525
"382",2017-01-05,11.4525
"383",2017-01-05,11.4525
"384",2017-01-05,11.4525
"385",2017-01-05,11.4525
"386",2017-01-05,11.4525
"387",2017-01-05,11.4525
"388",2017-01-05,11.4525
"389",2017-01-05,11.4525
"390",2017-01-05,11.4525
"391",2017-01-05,11.4525
"392",2017-01-05,11.4525
"393",2017-01-05,11.4525
"394",2017-01-05,11.4525
"395",2017-01-05,11.4525
"396",2017-01-05,11.4525
"397",2017-01-05,11.4525
"398",2017-01-05,11.4525
"399",2017-01-05,11.4525
"400",2017-01-05,11.4525
"401",2017-01-06,10.595
"402",2017-01-06,10.595
"403",2017-01-06,10.595
"404",2017-01-06,10.595
"405",2017-01-06,10.595
"406",2017-01-06,10.595
"407",2017-01-06,10.595
"408",2017-01-06,10.595
"409",2017-01-06,10.595
"410",2017-01-06,10.595
"411",2017-01-06,10.595
"412",2017-01-06,10.595
"413",2017-01-06,10.595
"414",2017-01-06,10.595
"415",2017-01-06,10.595
"416",2017-01-06,10.595
"417",2017-01-06,10.595
"418",2017-01-06,10.595
"419",2017-01-06,10.595
"420",2017-01-06,10.595
"421",2017-01-06,10.595
"422",2017-01-06,10.595
"423",2017-01-06,10.595
"424",2017-01-06,10.595
"425",2017-01-06,10.595
"426",2017-01-06,10.595
"427",2017-01-06,10.595
"428",2017-01-06,10.595
"429",2017-01-06,10.595
"430",2017-01-06,10.595
"431",2017-01-06,10.595
